s_ra,s_dec,target_name,band_list,t_exptime,gaia_source_id,sep_arcsec,gaia_match_quality,has_gaia
259.3802625158159,-66.95226502812297,HD_155555C,7,1270.08,5.811866358170877e+18,,good,True
258.9094639997313,-33.834109077195734,HD_155853,6,4898.879,5.978966385844419e+18,0.19195005764152065,good,True
260.21078071851355,-45.42108135899331,HD_156623,8,4959.162,5.952702871347478e+18,,good,True
38.23284679553951,37.33337626319963,HD_15745,6,1270.08,3.3364952216496026e+17,0.16887594787270493,good,True
261.818738269425,-28.77045674235855,HD_157918,6,302.4,4.0596493751824456e+18,,good,True
262.20625498783204,0.3308189164431879,HD_158352,6,1451.52,,,good,False
264.2442872067169,-32.12886695326385,HD_159595,6,1723.68,4.055010982172546e+18,,good,True
264.65298115831695,-42.73419492899632,HD_159807,6,332.64,5.955946636792294e+18,,good,True
39.78238687403761,-52.934455216068685,HD_16743,9,1413.12,4.742097275828451e+18,,good,True
276.97794689506617,-1.093607811382744,HD_170116,6,5443.124,4.272791731319533e+18,0.12058250226189197,good,True
277.8468400519288,-34.75042013723623,HD_170535,6,604.791,6.734855001900425e+18,,good,True
285.528332799075,-36.36180353829644,HD_176497,6,3447.359,6.731251799189398e+18,,good,True
291.55522421666757,20.097386938934253,HD_182919,6,3689.245,4.515892996332249e+18,,good,True
292.2540942315203,1.950127949358842,HD_183324,6,1451.52,4.287948945800741e+18,,good,True
302.27195642115487,-26.224383463467017,HD_191089,6,1421.28,6.84714678438446e+18,,good,True
304.5660979152868,-42.860358868030154,HD_192758,6,2419.2,6.680036513203407e+18,0.14841517472672666,good,True
319.61515307838386,-43.33455735321729,HD_202628,6,36339.207,6.577318075351824e+18,,good,True
320.20838270750653,-53.03466890502842,HD_202917,6,2540.16,6.463782435948431e+18,,good,True
326.3417660918875,-12.78335151873893,HD_206893,6,11610.228,6.843672087120108e+18,,good,True
327.0667520166924,-47.304950451751665,HD_207129,6,4655.507,6.564091190988412e+18,,good,True
52.97384379950127,-25.614227939257333,HD_21997,6,1844.64,5.084963312478489e+18,,good,True
353.9009625335853,8.382421784145073,HD_221853,6,2570.4,2.7582295823349765e+18,0.1520502224425354,good,True
54.35030445515173,22.350733382905513,HD_22444,6,254.005,6.457573094490355e+16,0.17710643063019071,good,True
54.78814166185672,24.3675727718061,HD_22627,6,254.006,6.825026444515994e+16,0.18428151775165436,good,True
54.92173747829542,23.29063474055544,HD_22680,6,254.0,6.51135596343392e+16,0.3043597416560603,good,True
56.24560264563165,22.032210704653668,HD_23312,6,254.0,6.473924894023539e+16,0.16938754874554537,good,True
56.0399870671993,-38.27986808902504,HD_23484,6,13758.239,,,good,False
56.83711883725805,25.5255797937862,HD_23598,6,254.005,6.996487981301325e+16,0.2293532072860599,good,True
57.470596493943994,25.647202281262057,HD_23935,6,254.005,6.698036287737843e+16,0.1750304230395837,good,True
57.57374650426681,25.379306721784996,HD_23975,6,254.005,6.696026243059482e+16,0.210968952151298,good,True
76.73129507920447,10.997639977052868,HD_240779,7,3084.156,3.291818722708659e+18,0.5705543586554949,good,True
57.77651854008492,25.594448652453114,HD_24086,6,254.005,6.696967699882458e+16,0.16655005717693155,good,True
58.22291510379928,24.715472098523428,HD_24302,6,254.0,6.665556026986854e+16,0.21242680515837964,good,True
58.59007000461442,24.075435887563724,HD_24463,6,254.005,6.58199657920119e+16,0.21296263723548803,good,True
71.7065621900037,-26.302475061257436,HD_30447,6,2328.48,4.881312593414912e+18,,good,True
73.95101631073861,30.3377592878022,HD_31305,6,1844.64,1.5690116827711475e+17,0.17027207254021925,good,True
73.51861752975597,-35.403397445480756,HD_31392,6,26624.405,,,good,False
250.5601341639233,-39.863716055110906,HD_321933,6,392.992,5.969392049083648e+18,,good,True
75.61435174738531,7.460902337394248,HD_32297,6,4838.383,3.2899026905545743e+18,,good,True
81.65254206358175,-22.489945247984014,HD_35841,6,2812.32,2.9588336233993713e+18,,good,True
83.3782527191793,24.62840475323168,HD_36546,6,3568.297,3.416768877653289e+18,,good,True
9.736778698536282,-52.534419513977696,HD_3670,6,2540.16,4.924930906883506e+18,,good,True
84.28675346720524,-11.77565426659115,HD_37306,6,1360.8,3.010113299530082e+18,,good,True
84.87976978978553,-3.564687613462008,HD_37594,6,10764.354,3.2157954350436183e+18,,good,True
85.83741563809188,-20.18931717384953,HD_38207,6,2812.32,2.9667799957938903e+18,,good,True
85.89937005513038,-39.9234540928803,HD_38397,6,2388.96,4.80816583003042e+18,,good,True
87.14584001201311,-4.095671794005552,HD_38858,6,4898.644,3.0237112690671913e+18,0.07072744623561644,good,True
96.18149521167705,-28.780968150488132,HD_45184,6,25789.557,,,good,False
100.75432919720896,-2.889043835624662,HD_48370,6,1874.88,3.1057497486293847e+18,,good,True
102.50425818177304,-60.248581814210326,HD_50571,7,2147.04,5.480006192386819e+18,,good,True
13.646876284071386,19.188329453036612,HD_5267,6,1814.4,2.789007592856305e+18,,good,True
113.947453089975,-32.20355363239682,HD_61005,6,2661.118,5.592237639209047e+18,,good,True
124.6017730054643,-12.639026782558927,HD_69830,7,17279.683,,,good,False
134.39710146077078,15.58142683179492,HD_76582,10,2856.96,6.105494997109894e+17,0.5793160136794202,good,True
154.86880056040118,6.582637615221271,HD_89452,6,22980.258,3.861752365967698e+18,,good,True
169.49093063402483,-46.09844831725686,HD_98303,6,332.64,5.374757056729348e+18,,good,True
169.49196027004572,-64.04259933789055,HD_98363,6,876.96,5.24064398851331e+18,,good,True
170.52157755928042,-24.777812062210856,HD_98800,6,4063.993,3.5344145903038075e+18,,good,True
24.483999707343408,21.2610774305614,HD_9985,6,5503.611,9.668425361395533e+16,0.096018944059205,good,True
56.61404243907536,25.13530420568432,HII_1015,6,254.005,6.98476100266871e+16,0.1330315495489412,good,True
55.85233652166746,23.225705268469618,HII_102,6,254.006,6.506370794977254e+16,0.13894790600927207,good,True
56.66166090429151,24.959376184292495,HII_1101,6,254.005,6.683845286127027e+16,0.2185914616855547,good,True
56.65719076143835,23.787496970476415,HII_1117,6,254.006,6.519997867275827e+16,0.31302710133750633,good,True
56.660109044617066,22.919545853992297,HII_1132,6,254.006,6.480820463839091e+16,0.2042456832125948,good,True
56.66676545446967,23.110079793523887,HII_1139,6,254.005,6.49528290746889e+16,0.17051799454083708,good,True
56.696186637923496,22.91431145119361,HII_1182,6,254.005,6.489901742687296e+16,0.24619556869476705,good,True
55.88326776618472,23.67381839696278,HII_120,6,254.005,6.523210502817216e+16,0.16632586677316252,good,True
56.71067823635618,23.238976618761765,HII_1200,6,254.007,6.496062873527923e+16,0.11167588896764356,good,True
56.79202619303448,24.276403222949565,HII_1309,6,253.977,6.672926190848205e+16,0.22025313859464524,good,True
56.81913923763024,24.128197631111934,HII_1338,6,253.991,6.671517441576474e+16,0.21521060607909107,good,True
56.91854167001497,24.364583330003377,HII_1514,6,254.016,6.673709592881165e+16,0.8541400729442651,good,True
55.907368535942155,23.53575169835536,HII_152,6,254.005,6.508933601817344e+16,0.2588545221298209,good,True
