s_ra,s_dec,target_name,band_list,t_exptime,gaia_source_id,sep_arcsec,has_gaia,gaia_match_quality,gaia_source_id_str,source_id,mh_xgboost,teff_xgboost,logg_xgboost,in_training_sample
130.6119154800483,-78.9631361378142,EK_Cha,7,514.08,5209037736474704512,0.2738813274258161,True,good,5209037736474704512,5209037736474704512,-0.35,3715.3,4.422,False
53.75904163865584,23.70956126185156,EPIC_211046195,7,1270.08,68012529415816832,0.2653331993789102,True,good,68012529415816832,68012529415816832,-1.005,4769.4,3.596,False
130.82656335505175,-79.08822440258982,ET_Cha,7,54.432,5209024366240981632,0.2178943380794173,True,good,5209024366240981632,5209024366240981632,-0.304,3497.4,4.266,False
53.22806815130576,-9.458205292922717,Epsilon_Eridani,6,3806.496,5164707970261890560,0.810985167005025,True,good,5164707970261890560,5164707970261890560,,,,
6.959912825227786,-32.552091421933405,GJ_2006A,7,876.96,2315841869173294080,0.4746754476029674,True,good,2315841869173294080,2315841869173294080,-0.035,3582.9,4.729,False
111.85496549112013,5.20727767520902,GJ_273,6,85693.019,3139847906306412160,0.3271295670377885,True,good,3139847906306412160,3139847906306412160,,,,
17.85693537474402,15.438700447585544,GJ_3076,7,1088.64,2783378162041480832,0.7393085526413699,True,good,2783378162041480832,2783378162041480832,,,,
213.90151991358505,1.288440540983692,GK_Vir,6,2540.147,3666166938357148672,0.0348972415298565,True,good,3666166938357148672,3666166938357148672,-1.505,6014.6,4.479,False
90.0162233538992,2.706346809982896,GL_3379,6,17862.368,3316364602541746048,0.8933036441424759,True,good,3316364602541746048,3316364602541746048,,,,
273.59201903806274,-32.76968017220466,GSC_07396-00759,7,876.96,4045698732855626624,0.1536813481529878,True,good,4045698732855626624,4045698732855626624,,,,
262.3361595013421,-50.24833331667466,GSC_08350-01924,7,967.68,5949369736173100544,0.3114020972634956,True,good,5949369736173100544,5949369736173100544,,,,
260.23374996663455,-26.058811672845103,Gaia_DR2_4108404224585712768,6,302.4,4108404224585712768,0.7558868590570599,True,good,4108404224585712768,4108404224585712768,-0.521,4637.8,3.872,False
247.91941592918573,-24.42144471190479,Gaia_DR2_6047590759117265280,6,483.721,6047590759117265280,0.6210073662738707,True,good,6047590759117265280,6047590759117265280,-0.749,6093.1,3.565,False
244.76764340326227,-26.9617133615394,Gaia_DR2_6048347979034299904,6,483.72,6048347979034299904,0.628133865290148,True,good,6048347979034299904,6048347979034299904,-0.158,6361.4,4.097,False
246.53875485586968,-24.570365091996393,Gaia_DR2_6049123615765201536,6,483.702,6049123615765201536,0.7213842799671911,True,good,6049123615765201536,6049123615765201536,-0.827,6185.0,3.709,False
310.8135181564079,10.72644615523902,Gaia_DR3_1751335969361640192,7,5019.569,1751335969361640192,0.1753072510314302,True,good,1751335969361640192,1751335969361640192,-0.109,4651.3,4.564,False
161.06911347307414,-45.27044928740216,Gaia_DR3_5366813974272886528,7,2721.6,5366813974272886528,0.8410097756262571,True,good,5366813974272886528,5366813974272886528,-0.276,5183.8,4.507,False
189.00383977045587,-39.86965973208726,HD109573,7,876.96,6147117727029871360,0.4157201164506233,True,good,6147117727029871360,6147117727029871360,-0.445,6534.0,3.786,False
189.6776107124959,-68.7637239584634,HD109832,8,1360.8,5855753399177548416,0.2455605676055122,True,good,5855753399177548416,5855753399177548416,-0.154,6606.7,3.966,False
190.4716159672346,10.235041903003577,HD110411,6,12690.549,3903402278745164672,0.9040145402287584,True,good,3903402278745164672,3903402278745164672,,,,
208.8284307254712,-53.52864013385462,HD121191,8,967.68,6065138792911302784,0.1195971883460983,True,good,6065138792911302784,6065138792911302784,-0.233,6634.2,3.907,False
209.42113026372505,-47.009640820197106,HD121617,8,846.72,6095178206488363264,0.1374687719521646,True,good,6095178206488363264,6095178206488363264,-0.511,6469.4,3.779,False
223.78330657349963,-41.120525321105184,HD131488,7,17231.438,6101164531905526528,0.1691136785665493,True,good,6101164531905526528,6101164531905526528,-0.593,6524.7,3.959,False
224.22681671235128,-35.695580187086584,HD131835,8,846.72,6202242567124829312,0.0326015099251044,True,good,6202242567124829312,6202242567124829312,-0.446,6584.9,3.763,False
233.8169623370961,-25.73433440008403,HD138813,7,1481.76,6237729751586459392,0.2964819050740985,True,good,6237729751586459392,6237729751586459392,-0.556,6568.2,3.84,False
235.0474801160529,-70.22818682133449,HD138965,6,2449.44,5819811291755502976,0.2620989817876121,True,good,5819811291755502976,5819811291755502976,-0.406,6524.6,3.93,False
34.32889953377594,33.84692436195447,HD14055,6,1300.32,326109689896765568,0.1900075873934491,True,good,326109689896765568,326109689896765568,,,,
237.23645129335677,-3.8184615972093807,HD141378,6,14182.306,4402445936305708416,0.2539445728993798,True,good,4402445936305708416,4402445936305708416,,,,
237.49050125161708,-3.921334168636769,HD141569,7,15597.061,4399438153527026176,0.2090357036445061,True,good,4399438153527026176,4399438153527026176,,,,
239.1666983783059,-22.027900020469172,HD142666,6,1300.32,6243489715051060480,0.0807663584860643,True,good,6243489715051060480,6243489715051060480,,,,
243.39287140476637,-45.81790155486334,HD145560,7,19685.034,5990267273750368768,0.2813615675639775,True,good,5990267273750368768,5990267273750368768,0.053,6278.3,4.213,False
244.87177784071696,-21.403830352236017,HD146897,8,20320.278,6244295760151546624,0.1096202325380679,True,good,6244295760151546624,6244295760151546624,-0.055,6356.9,4.132,False
250.40292399660984,26.91665578526982,HD150682,6,1360.8,1301518718691599744,0.0928026541290773,True,good,1301518718691599744,1301518718691599744,-0.171,6423.5,4.106,False
36.5682755791988,6.292218602779065,HD15115,7,34018.433,2517397846786452224,0.7891160881967318,True,good,2517397846786452224,2517397846786452224,-0.224,6329.8,4.114,False
37.04147233713497,29.668787392040905,HD15257,7,31595.187,131471770725205632,0.5812189544427296,True,good,131471770725205632,131471770725205632,,,,
255.02606950807325,-54.59765117850405,HD153053,6,19896.53,5917719984738398848,0.5597102441026603,True,good,5917719984738398848,5917719984738398848,-0.175,6659.0,3.926,False
260.21075713311416,-45.42112055904918,HD156623,7,1209.6,5952702871347477120,0.419550033160787,True,good,5952702871347477120,5952702871347477120,-0.4,6555.6,3.897,False
262.20656116822835,0.3307303341958834,HD158352,6,876.96,4373966832796402048,0.1820104357083457,True,good,4373966832796402048,4373966832796402048,-0.314,6645.7,3.442,False
266.9730439847833,2.7069011711281874,HD161868,6,4354.556,4472097420946809600,0.1820247386260454,True,good,4472097420946809600,4472097420946809600,,,,
270.7642427186041,-51.64938508933216,HD164249,6,423.36,6702775135228913280,0.0491857091651492,True,good,6702775135228913280,6702775135228913280,0.036,6299.0,4.233,False
39.78218216120224,-52.93453576493832,HD16743,6,5805.983,4742097275828451584,0.3337397926628518,True,good,4742097275828451584,4742097275828451584,-0.045,6548.5,3.972,False
278.25440997833607,-39.89242974696732,HD170773,6,4172.949,6723753061177741312,0.3149306218921029,True,good,6723753061177741312,6723753061177741312,,,,
281.3624150965155,-64.87190706101953,HD172555,6,453.6,6438274350302427776,0.0658780855127392,True,good,6438274350302427776,6438274350302427776,,,,
290.71355005058575,-54.42428897393634,HD181296,6,846.159,6643602576214115584,0.0349997124282772,True,good,6643602576214115584,6643602576214115584,,,,
290.74580259388324,-54.538438242759185,HD181327,8,2872.8,6643589352010758400,0.0938464732833019,True,good,6643589352010758400,6643589352010758400,0.132,6286.8,4.306,False
291.7354572032394,-29.74348406878292,HD182681,6,1632.549,6758468487246533248,0.1403764603317806,True,good,6758468487246533248,6758468487246533248,,,,
302.2719508511789,-26.224390820648537,HD191089,6,816.48,6847146784384459648,0.2171566587136963,True,good,6847146784384459648,6847146784384459648,0.062,6333.2,4.304,False
319.6153488904904,-43.33454106194144,HD202628,6,8799.322,6577318075351824512,0.648525733697721,True,good,6577318075351824512,6577318075351824512,-0.02,5383.4,4.359,False
324.3382742073311,-18.441715673726687,HD205674,6,816.48,6831554747427433728,0.3044306388186246,True,good,6831554747427433728,6831554747427433728,-0.113,6419.4,4.26,False
326.3417696071705,-12.7833517097229,HD206893,7,16216.478,6843672087120107264,0.2416036581185337,True,good,6843672087120107264,6843672087120107264,-0.017,6216.6,4.229,False
